Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Wed Jul 31 10:36:39 2024
| Host         : aoi running 64-bit Ubuntu 18.04.6 LTS
| Command      : report_utilization -file util.toggle.txt -hierarchical
| Design       : blackparrot_bd_1_wrapper
| Device       : xc7z045ffg900-2
| Speed File   : -2
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                                  Instance                                                 |                              Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
|       inst                                                                                                |                                                        top_bd_1 |      57788 |      54525 |    3241 |   22 | 36863 |    299 |      3 |         11 |
|         top                                                                                               |                                                  top_bd_1_top_0 |      57788 |      54525 |    3241 |   22 | 36863 |    299 |      3 |         11 |
|           inst                                                                                            |                                                             top |      57788 |      54525 |    3241 |   22 | 36863 |    299 |      3 |         11 |
|             top_fpga_inst                                                                                 |                                                        top_zynq |      57788 |      54525 |    3241 |   22 | 36863 |    299 |      3 |         11 |
|               (top_fpga_inst)                                                                             |                                                        top_zynq |          9 |          9 |       0 |    0 |     0 |      0 |      0 |          0 |
|               axil_demux                                                                                  |                                                  bsg_axil_demux |        108 |         32 |      76 |    0 |    22 |      0 |      0 |          0 |
|                 input_araddr_fifo                                                                         |                        bsg_fifo_1r1w_small__parameterized0_1642 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                               bsg_two_fifo_1660 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                               bsg_two_fifo_1660 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                               bsg_mem_1r1w__parameterized9_1661 |         31 |          7 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                         bsg_mem_1r1w_synth__parameterized9_1662 |         31 |          7 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_awaddr_fifo                                                                         |                        bsg_fifo_1r1w_small__parameterized0_1643 |         36 |         12 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                               bsg_two_fifo_1657 |         36 |         12 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                               bsg_two_fifo_1657 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                               bsg_mem_1r1w__parameterized9_1658 |         36 |         12 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                         bsg_mem_1r1w_synth__parameterized9_1659 |         36 |         12 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_wdata_fifo                                                                          |                        bsg_fifo_1r1w_small__parameterized1_1644 |         28 |          4 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                               bsg_two_fifo__parameterized0_1654 |         28 |          4 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                               bsg_two_fifo__parameterized0_1654 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                              bsg_mem_1r1w__parameterized10_1655 |         25 |          1 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                        bsg_mem_1r1w_synth__parameterized10_1656 |         25 |          1 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 read_resp_fifo                                                                            |                        bsg_fifo_1r1w_small__parameterized2_1645 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                               bsg_two_fifo__parameterized1_1651 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                               bsg_two_fifo__parameterized1_1651 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                              bsg_mem_1r1w__parameterized11_1652 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                        bsg_mem_1r1w_synth__parameterized11_1653 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_resp_fifo                                                                           |                        bsg_fifo_1r1w_small__parameterized2_1646 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                               bsg_two_fifo__parameterized1_1648 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                               bsg_two_fifo__parameterized1_1648 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                              bsg_mem_1r1w__parameterized11_1649 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                        bsg_mem_1r1w_synth__parameterized11_1650 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_valid_completed_regs                                                                |                              bsg_dff_reset__parameterized0_1647 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|               axil_mux                                                                                    |                                                    bsg_axil_mux |        171 |         83 |      88 |    0 |    31 |      0 |      0 |          0 |
|                 input_araddr_fifo_0                                                                       |                             bsg_fifo_1r1w_small__parameterized0 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                               bsg_two_fifo_1639 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                               bsg_two_fifo_1639 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                               bsg_mem_1r1w__parameterized9_1640 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                         bsg_mem_1r1w_synth__parameterized9_1641 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_awaddr_fifo_0                                                                       |                        bsg_fifo_1r1w_small__parameterized0_1625 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                               bsg_two_fifo_1636 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                               bsg_two_fifo_1636 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                               bsg_mem_1r1w__parameterized9_1637 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                         bsg_mem_1r1w_synth__parameterized9_1638 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_awaddr_fifo_1                                                                       |                        bsg_fifo_1r1w_small__parameterized0_1626 |         18 |         10 |       8 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                                    bsg_two_fifo |         18 |         10 |       8 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                                    bsg_two_fifo |          5 |          5 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                    bsg_mem_1r1w__parameterized9 |         13 |          5 |       8 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                              bsg_mem_1r1w_synth__parameterized9 |         13 |          5 |       8 |    0 |     0 |      0 |      0 |          0 |
|                 input_wdata_fifo_0                                                                        |                             bsg_fifo_1r1w_small__parameterized1 |         29 |          5 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                               bsg_two_fifo__parameterized0_1633 |         29 |          5 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                               bsg_two_fifo__parameterized0_1633 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                              bsg_mem_1r1w__parameterized10_1634 |         25 |          1 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                        bsg_mem_1r1w_synth__parameterized10_1635 |         25 |          1 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_wdata_fifo_1                                                                        |                        bsg_fifo_1r1w_small__parameterized1_1627 |          9 |          5 |       4 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                    bsg_two_fifo__parameterized0 |          9 |          5 |       4 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                    bsg_two_fifo__parameterized0 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                   bsg_mem_1r1w__parameterized10 |          6 |          2 |       4 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                             bsg_mem_1r1w_synth__parameterized10 |          6 |          2 |       4 |    0 |     0 |      0 |      0 |          0 |
|                 read_resp_fifo                                                                            |                             bsg_fifo_1r1w_small__parameterized2 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                               bsg_two_fifo__parameterized1_1630 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                               bsg_two_fifo__parameterized1_1630 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                              bsg_mem_1r1w__parameterized11_1631 |          4 |          2 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                        bsg_mem_1r1w_synth__parameterized11_1632 |          4 |          2 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_resp_fifo                                                                           |                        bsg_fifo_1r1w_small__parameterized2_1628 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                    bsg_two_fifo__parameterized1 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                    bsg_two_fifo__parameterized1 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                   bsg_mem_1r1w__parameterized11 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                             bsg_mem_1r1w_synth__parameterized11 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_rr                                                                                  |                                             bsg_round_robin_arb |         39 |         39 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 write_valid_completed_regs                                                                |                              bsg_dff_reset__parameterized0_1629 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|               axis_packer                                                                                 |                                           bsg_axi_stream_packer |         12 |         12 |       0 |    0 |     9 |      0 |      0 |          0 |
|                 cycle_cnt                                                                                 |                           bsg_counter_clear_up__parameterized10 |         12 |         12 |       0 |    0 |     8 |      0 |      0 |          0 |
|                 safe_last_reg                                                                             |                    bsg_dff_reset_set_clear__parameterized0_1624 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|               bb                                                                                          |                                                 bsg_tag_bitbang |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|                 tag_clk_reg                                                                               |                                                   bsg_dff_reset |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 tag_data_reg                                                                              |                                bsg_dff_en__parameterized18_1623 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|               blackparrot                                                                                 |                                                      bp_axi_top |      37394 |      34881 |    2491 |   22 | 14438 |     47 |      3 |         11 |
|                 async.dma_in_data_af                                                                      |                                 bsg_async_fifo__parameterized10 |         59 |         15 |      44 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                              bsg_mem_1r1w__parameterized14_1617 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                        bsg_mem_1r1w_synth__parameterized14_1622 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                         bsg_async_ptr_gray_1618 |         10 |         10 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                         bsg_async_ptr_gray_1618 |         10 |         10 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__2 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1621 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                         bsg_async_ptr_gray_1619 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                         bsg_async_ptr_gray_1619 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__1 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1620 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.dma_out_data_af                                                                     |                            bsg_async_fifo__parameterized10_1143 |         60 |         16 |      44 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                   bsg_mem_1r1w__parameterized14 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                             bsg_mem_1r1w_synth__parameterized14 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                         bsg_async_ptr_gray_1613 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                         bsg_async_ptr_gray_1613 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__6 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1616 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                         bsg_async_ptr_gray_1614 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                         bsg_async_ptr_gray_1614 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__7 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1615 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.dma_pkt_af                                                                          |                                  bsg_async_fifo__parameterized9 |        281 |        255 |      26 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                   bsg_mem_1r1w__parameterized13 |        263 |        237 |      26 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                             bsg_mem_1r1w_synth__parameterized13 |        263 |        237 |      26 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                         bsg_async_ptr_gray_1609 |          6 |          6 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                         bsg_async_ptr_gray_1609 |          6 |          6 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__4 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1612 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                         bsg_async_ptr_gray_1610 |         12 |         12 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                         bsg_async_ptr_gray_1610 |         12 |         12 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__3 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1611 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_fwd_iaf                                                                         |                                  bsg_async_fifo__parameterized8 |         77 |         21 |      56 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                              bsg_mem_1r1w__parameterized12_1603 |         61 |          5 |      56 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                        bsg_mem_1r1w_synth__parameterized12_1608 |         61 |          5 |      56 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                         bsg_async_ptr_gray_1604 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                         bsg_async_ptr_gray_1604 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__8 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1607 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                         bsg_async_ptr_gray_1605 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                         bsg_async_ptr_gray_1605 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__9 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1606 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_fwd_oaf                                                                         |                             bsg_async_fifo__parameterized8_1144 |        102 |         18 |      84 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                              bsg_mem_1r1w__parameterized12_1597 |         84 |          0 |      84 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                        bsg_mem_1r1w_synth__parameterized12_1602 |         84 |          0 |      84 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                         bsg_async_ptr_gray_1598 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                         bsg_async_ptr_gray_1598 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                        bsg_launch_sync_sync__12 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1601 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                         bsg_async_ptr_gray_1599 |         13 |         13 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                         bsg_async_ptr_gray_1599 |         13 |         13 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                        bsg_launch_sync_sync__13 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1600 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_rev_iaf                                                                         |                             bsg_async_fifo__parameterized8_1145 |        103 |         19 |      84 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                              bsg_mem_1r1w__parameterized12_1591 |         85 |          1 |      84 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                        bsg_mem_1r1w_synth__parameterized12_1596 |         85 |          1 |      84 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                         bsg_async_ptr_gray_1592 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                         bsg_async_ptr_gray_1592 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                        bsg_launch_sync_sync__14 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1595 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                         bsg_async_ptr_gray_1593 |          7 |          7 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                         bsg_async_ptr_gray_1593 |          7 |          7 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                         bsg_launch_sync_sync__5 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1594 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_rev_oaf                                                                         |                             bsg_async_fifo__parameterized8_1146 |         41 |         15 |      26 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                   bsg_mem_1r1w__parameterized12 |         26 |          0 |      26 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                             bsg_mem_1r1w_synth__parameterized12 |         26 |          0 |      26 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                         bsg_async_ptr_gray_1587 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                         bsg_async_ptr_gray_1587 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                        bsg_launch_sync_sync__10 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1590 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                         bsg_async_ptr_gray_1588 |         10 |         10 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                         bsg_async_ptr_gray_1588 |         10 |         10 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                        bsg_launch_sync_sync__11 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                        bsg_launch_sync_sync_posedge_4_unit_1589 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 axi_reset_bss                                                                             |                                              bsg_sync_sync_1147 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
