Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Tue Jul 30 16:04:48 2024
| Host         : aoi running 64-bit Ubuntu 18.04.6 LTS
| Command      : report_utilization -file util.8.txt -hierarchical
| Design       : blackparrot_bd_1_wrapper
| Device       : xc7z045ffg900-2
| Speed File   : -2
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                                  Instance                                                 |                                   Module                                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
|                     mem_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized1_1671 |         24 |          0 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                   bsg_mem_1r1w_synth__parameterized1_1672 |         24 |          0 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 read_resp_fifo                                                                            |                                  bsg_fifo_1r1w_small__parameterized2_1661 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                         bsg_two_fifo__parameterized1_1667 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                         bsg_two_fifo__parameterized1_1667 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized2_1668 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                   bsg_mem_1r1w_synth__parameterized2_1669 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_resp_fifo                                                                           |                                  bsg_fifo_1r1w_small__parameterized2_1662 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                         bsg_two_fifo__parameterized1_1664 |          6 |          4 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                         bsg_two_fifo__parameterized1_1664 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized2_1665 |          3 |          1 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                   bsg_mem_1r1w_synth__parameterized2_1666 |          3 |          1 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_valid_completed_regs                                                                |                                        bsg_dff_reset__parameterized0_1663 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |          0 |
|               axil_mux                                                                                    |                                                              bsg_axil_mux |        171 |         83 |      88 |    0 |    31 |      0 |      0 |          0 |
|                 input_araddr_fifo_0                                                                       |                                       bsg_fifo_1r1w_small__parameterized0 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                                         bsg_two_fifo_1655 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                                         bsg_two_fifo_1655 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized0_1656 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                   bsg_mem_1r1w_synth__parameterized0_1657 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_awaddr_fifo_0                                                                       |                                  bsg_fifo_1r1w_small__parameterized0_1641 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
